,student_id,student_name_x,email_x,phone_x,course,admission_date,admission_status,total_fee,paid_fee,payment_status
53,STU-1053,Arjun Patel,arjun.38@mail.com,9991143412,B.Tech,2024-06-03 05:00:00,Admitted,78985,33931,Paid
54,STU-1054,Meena Sharma,meena.28@mail.com,9249844480,BCA,2024-06-03 06:00:00,Admitted,172777,88754,Partially Paid
55,STU-1055,Manish Verma,manish.53@mail.com,9856042819,BBA,2024-06-03 07:00:00,Admitted,181662,158755,Partially Paid
56,STU-1056,Priya Patel,priya.50@mail.com,9949624343,BBA,2024-06-03 08:00:00,Admitted,120945,114259,Pending
57,STU-1057,Emma Anderson,emma.85@mail.com,9628459719,BCA,2024-06-03 09:00:00,Waitlisted,153166,18134,Paid
58,STU-1058,Rajesh Das,rajesh.46@mail.com,9370295999,BCA,2024-06-03 10:00:00,Rejected,165107,102669,Partially Paid
59,STU-1059,Rahul Sharma,rahul.20@mail.com,9259303011,MBA,2024-06-03 11:00:00,Rejected,87025,51258,Partially Paid
60,STU-1060,Neha Singh,neha.84@mail.com,9226279725,BCA,2024-06-03 12:00:00,Waitlisted,113943,29731,Paid
61,STU-1061,Pooja Sharma,pooja.22@mail.com,9582141786,BBA,2024-06-03 13:00:00,Rejected,78397,66119,Paid
62,STU-1062,Rohit Gupta,rohit.31@mail.com,9218411820,BBA,2024-06-03 14:00:00,Rejected,123142,16892,Partially Paid
63,STU-1063,Karthik Sharma,karthik.37@mail.com,9637965993,B.Tech,2024-06-03 15:00:00,Rejected,178080,178759,Partially Paid
64,STU-1064,Anita Sharma,anita.47@mail.com,9797879552,MBA,2024-06-03 16:00:00,Rejected,156792,132815,Paid
65,STU-1065,Emily Lee,emily.49@mail.com,9188956386,BBA,2024-06-03 17:00:00,Waitlisted,186642,159785,Partially Paid
66,STU-1066,Rohit Nair,rohit.61@mail.com,9326565208,MBA,2024-06-03 18:00:00,Admitted,110364,24819,Partially Paid
67,STU-1067,Manish Sharma,manish.66@mail.com,9745207467,B.Tech,2024-06-03 19:00:00,Admitted,162677,115898,Partially Paid
68,STU-1068,Rahul Reddy,rahul.89@mail.com,9285953399,BBA,2024-06-03 20:00:00,Admitted,197076,175914,Partially Paid
69,STU-1069,Rakesh Verma,rakesh.13@mail.com,9866753566,B.Tech,2024-06-03 21:00:00,Waitlisted,115290,91727,Partially Paid
70,STU-1070,Divya Verma,divya.63@mail.com,9152867975,MCA,2024-06-03 22:00:00,Waitlisted,76112,123470,Paid
71,STU-1071,Rakesh Choudhary,rakesh.97@mail.com,9924171924,MCA,2024-06-03 23:00:00,Rejected,188158,38856,Paid
72,STU-1072,Rakesh Choudhary,rakesh.30@mail.com,9663680310,MBA,2024-06-04 00:00:00,Waitlisted,76662,115217,Partially Paid
73,STU-1073,Deepa Iyer,deepa.75@mail.com,9582551400,BBA,2024-06-04 01:00:00,Waitlisted,80546,11643,Partially Paid
74,STU-1074,Divya Reddy,divya.48@mail.com,9477397338,B.Tech,2024-06-04 02:00:00,Waitlisted,191261,136498,Paid
75,STU-1075,Neha Das,neha.45@mail.com,9983686314,MCA,2024-06-04 03:00:00,Admitted,60171,72359,Partially Paid
76,STU-1076,Rahul Das,rahul.21@mail.com,9528382372,MCA,2024-06-04 04:00:00,Waitlisted,100481,148306,Paid
77,STU-1077,Rakesh Gupta,rakesh.13@mail.com,9134376211,BBA,2024-06-04 05:00:00,Waitlisted,199786,155343,Paid
78,STU-1078,Nisha Gupta,nisha.25@mail.com,9342283359,MBA,2024-06-04 06:00:00,Rejected,97599,87006,Pending
79,STU-1079,Meena Verma,meena.92@mail.com,9392489953,MBA,2024-06-04 07:00:00,Admitted,93465,27712,Partially Paid
80,STU-1080,Rahul Nair,rahul.57@mail.com,9565006961,B.Tech,2024-06-04 08:00:00,Rejected,161224,124374,Pending
81,STU-1081,Manish Nair,manish.22@mail.com,9642163442,BCA,2024-06-04 09:00:00,Waitlisted,196454,75481,Paid
82,STU-1082,Neha Nair,neha.14@mail.com,9433675700,MBA,2024-06-04 10:00:00,Admitted,193031,167404,Partially Paid
83,STU-1083,Amit Iyer,amit.25@mail.com,9365735487,BBA,2024-06-04 11:00:00,Waitlisted,138683,90204,Paid
84,STU-1084,Deepa Choudhary,deepa.94@mail.com,9918181322,MBA,2024-06-04 12:00:00,Waitlisted,125984,21414,Partially Paid
85,STU-1085,Sanjay Das,sanjay.97@mail.com,9615852064,BBA,2024-06-04 13:00:00,Waitlisted,71530,22751,Partially Paid
86,STU-1086,Kiran Nair,kiran.36@mail.com,9683364934,BBA,2024-06-04 14:00:00,Rejected,86447,176377,Paid
87,STU-1087,Sneha Verma,sneha.30@mail.com,9105546371,B.Tech,2024-06-04 15:00:00,Admitted,93810,30284,Partially Paid
88,STU-1088,Rohit Reddy,rohit.34@mail.com,9184117882,B.Tech,2024-06-04 16:00:00,Admitted,65011,122979,Partially Paid
89,STU-1089,Priya Choudhary,priya.97@mail.com,9440264660,BBA,2024-06-04 17:00:00,Waitlisted,138116,177619,Paid
90,STU-1090,Anita Verma,anita.89@mail.com,9475700342,MCA,2024-06-04 18:00:00,Waitlisted,112861,50190,Pending
91,STU-1091,Sanjay Patel,sanjay.64@mail.com,9619692456,B.Tech,2024-06-04 19:00:00,Rejected,181253,31407,Paid
92,STU-1092,Daniel Anderson,daniel.74@mail.com,9855131882,MBA,2024-06-04 20:00:00,Admitted,167656,123985,Paid
93,STU-1093,Amit Verma,amit.20@mail.com,9203614925,BCA,2024-06-04 21:00:00,Admitted,88691,56413,Paid
94,STU-1094,Pooja Singh,pooja.19@mail.com,9683315960,B.Tech,2024-06-04 22:00:00,Rejected,152965,142457,Pending
95,STU-1095,Manish Gupta,manish.96@mail.com,9117586638,MCA,2024-06-04 23:00:00,Rejected,67783,140985,Paid
96,STU-1096,David Taylor,david.69@mail.com,9942725594,BBA,2024-06-05 00:00:00,Admitted,148758,143129,Pending
97,STU-1097,Robert Williams,robert.62@mail.com,9324694949,MCA,2024-06-05 01:00:00,Rejected,70400,82378,Paid
98,STU-1098,Rakesh Patel,rakesh.96@mail.com,9842485807,BCA,2024-06-05 02:00:00,Waitlisted,67110,77501,Partially Paid
99,STU-1099,Nisha Iyer,nisha.10@mail.com,9503897130,BBA,2024-06-05 03:00:00,Rejected,110794,12414,Paid
100,STU-1100,Sanjay Reddy,sanjay.81@mail.com,9322855799,MBA,2024-06-05 04:00:00,Rejected,158957,56068,Paid
101,STU-1101,Rahul Gupta,rahul.99@mail.com,9583613870,B.Tech,2024-06-05 05:00:00,Rejected,101790,151137,Partially Paid
102,STU-1102,Nisha Verma,nisha.53@mail.com,9760576014,MBA,2024-06-05 06:00:00,Admitted,138983,73214,Partially Paid
103,STU-1103,Rahul Verma,rahul.53@mail.com,9744563673,MCA,2024-06-05 07:00:00,Rejected,88828,24099,Partially Paid
104,STU-1104,Karthik Choudhary,karthik.20@mail.com,9291860006,MBA,2024-06-05 08:00:00,Admitted,177748,16988,Pending
105,STU-1105,Sneha Sharma,sneha.63@mail.com,9198928831,MCA,2024-06-05 09:00:00,Rejected,74587,101592,Partially Paid
106,STU-1106,Manish Verma,manish.33@mail.com,9210575178,BBA,2024-06-05 10:00:00,Rejected,166615,74542,Partially Paid
107,STU-1107,Neha Choudhary,neha.17@mail.com,9739572890,BCA,2024-06-05 11:00:00,Admitted,186192,35053,Paid
108,STU-1108,David Smith,david.51@mail.com,9494125929,MBA,2024-06-05 12:00:00,Waitlisted,99205,140817,Partially Paid
109,STU-1109,Neha Choudhary,neha.53@mail.com,9592478741,MBA,2024-06-05 13:00:00,Admitted,176690,87603,Pending
110,STU-1110,Rajesh Sharma,rajesh.74@mail.com,9397870641,MBA,2024-06-05 14:00:00,Waitlisted,168499,119978,Paid
111,STU-1111,Pooja Choudhary,pooja.95@mail.com,9697756840,B.Tech,2024-06-05 15:00:00,Rejected,88772,11082,Paid
112,STU-1112,Emma Brown,emma.34@mail.com,9664389140,MBA,2024-06-05 16:00:00,Admitted,108935,175843,Partially Paid
113,STU-1113,Karthik Gupta,karthik.77@mail.com,9886286072,MCA,2024-06-05 17:00:00,Waitlisted,157666,67628,Paid
114,STU-1114,Karthik Reddy,karthik.44@mail.com,9240082544,BBA,2024-06-05 18:00:00,Waitlisted,91016,50089,Paid
115,STU-1115,David Smith,david.70@mail.com,9201038007,BBA,2024-06-05 19:00:00,Waitlisted,156805,41638,Paid
116,STU-1116,Deepa Verma,deepa.43@mail.com,9943543367,BCA,2024-06-05 20:00:00,Admitted,163319,107177,Partially Paid
117,STU-1117,Rohit Reddy,rohit.39@mail.com,9887179870,MBA,2024-06-05 21:00:00,Admitted,147087,42126,Paid
118,STU-1118,Manish Sharma,manish.46@mail.com,9919553783,MBA,2024-06-05 22:00:00,Admitted,188032,84553,Pending
119,STU-1119,Deepa Das,deepa.54@mail.com,9104447328,MCA,2024-06-05 23:00:00,Waitlisted,196664,127023,Pending
120,STU-1120,Karthik Iyer,karthik.27@mail.com,9845683137,BBA,2024-06-06 00:00:00,Waitlisted,195300,113780,Paid
121,STU-1121,Michael Jones,michael.91@mail.com,9152805330,B.Tech,2024-06-06 01:00:00,Waitlisted,94375,40991,Partially Paid
122,STU-1122,Robert Moore,robert.69@mail.com,9851362857,BCA,2024-06-06 02:00:00,Waitlisted,127698,94510,Paid
123,STU-1123,Deepa Singh,deepa.73@mail.com,9680021743,BCA,2024-06-06 03:00:00,Rejected,173311,108182,Partially Paid
124,STU-1124,Karthik Patel,karthik.61@mail.com,9869791366,BBA,2024-06-06 04:00:00,Admitted,119727,66939,Pending
125,STU-1125,Olivia Lee,olivia.85@mail.com,9323749332,MCA,2024-06-06 05:00:00,Admitted,111064,36077,Paid
126,STU-1126,Karthik Iyer,karthik.22@mail.com,9926653574,MBA,2024-06-06 06:00:00,Rejected,199748,176209,Partially Paid
127,STU-1127,Deepa Das,deepa.11@mail.com,9852982465,BCA,2024-06-06 07:00:00,Rejected,95924,110700,Partially Paid
128,STU-1128,Amit Verma,amit.18@mail.com,9854951582,MBA,2024-06-06 08:00:00,Rejected,149507,75246,Partially Paid
129,STU-1129,Deepa Sharma,deepa.13@mail.com,9567939259,MBA,2024-06-06 09:00:00,Admitted,89804,45413,Paid
130,STU-1130,Meena Das,meena.12@mail.com,9345282609,MCA,2024-06-06 10:00:00,Rejected,159000,163331,Paid
131,STU-1131,Manish Singh,manish.61@mail.com,9154314330,MBA,2024-06-06 11:00:00,Admitted,63855,128895,Paid
132,STU-1132,Meena Das,meena.45@mail.com,9526802917,BBA,2024-06-06 12:00:00,Rejected,104005,18180,Pending
133,STU-1133,Anita Sharma,anita.95@mail.com,9769955752,MCA,2024-06-06 13:00:00,Waitlisted,150407,50358,Pending
134,STU-1134,Nisha Sharma,nisha.21@mail.com,9677713650,MCA,2024-06-06 14:00:00,Rejected,64881,37136,Partially Paid
135,STU-1135,Rakesh Iyer,rakesh.34@mail.com,9786346939,BCA,2024-06-06 15:00:00,Rejected,158479,14932,Partially Paid
136,STU-1136,John Brown,john.16@mail.com,9939075461,BBA,2024-06-06 16:00:00,Admitted,73951,84357,Partially Paid
137,STU-1137,Manish Singh,manish.90@mail.com,9763234960,BBA,2024-06-06 17:00:00,Waitlisted,127473,87610,Pending
138,STU-1138,Rahul Nair,rahul.66@mail.com,9599428381,BBA,2024-06-06 18:00:00,Waitlisted,121483,159969,Paid
139,STU-1139,Karthik Reddy,karthik.21@mail.com,9572110253,BBA,2024-06-06 19:00:00,Admitted,89519,66144,Partially Paid
140,STU-1140,Emma Lee,emma.77@mail.com,9718133332,BBA,2024-06-06 20:00:00,Waitlisted,137822,139667,Paid
141,STU-1141,Priya Iyer,priya.87@mail.com,9700413725,MCA,2024-06-06 21:00:00,Admitted,93831,143299,Partially Paid
142,STU-1142,Arjun Verma,arjun.41@mail.com,9864603084,B.Tech,2024-06-06 22:00:00,Rejected,134688,73968,Pending
143,STU-1143,Rohit Reddy,rohit.45@mail.com,9818435297,MBA,2024-06-06 23:00:00,Admitted,195901,120079,Partially Paid
144,STU-1144,Neha Singh,neha.15@mail.com,9624996237,BBA,2024-06-07 00:00:00,Admitted,100326,18617,Paid
145,STU-1145,Vivek Singh,vivek.80@mail.com,9781046465,MCA,2024-06-07 01:00:00,Rejected,121475,113138,Paid
146,STU-1146,Sanjay Iyer,sanjay.19@mail.com,9534678177,BCA,2024-06-07 02:00:00,Waitlisted,155357,123484,Pending
147,STU-1147,Sneha Nair,sneha.38@mail.com,9744003312,BBA,2024-06-07 03:00:00,Rejected,108673,37804,Partially Paid
148,STU-1148,David Jones,david.57@mail.com,9710809114,BBA,2024-06-07 04:00:00,Waitlisted,88809,32226,Pending
149,STU-1149,Meena Iyer,meena.84@mail.com,9777911492,BBA,2024-06-07 05:00:00,Rejected,78546,155054,Paid
150,STU-1150,Rohit Sharma,rohit.71@mail.com,9647528089,BCA,2024-06-07 06:00:00,Waitlisted,94085,86859,Paid
151,STU-1151,Meena Das,meena.41@mail.com,9531347904,BBA,2024-06-07 07:00:00,Admitted,99691,169488,Paid
152,STU-1152,Arjun Nair,arjun.14@mail.com,9103383567,MBA,2024-06-07 08:00:00,Waitlisted,145501,166648,Paid
153,STU-1153,Sanjay Reddy,sanjay.72@mail.com,9853007556,BCA,2024-06-07 09:00:00,Waitlisted,189201,24816,Pending
154,STU-1154,Nisha Iyer,nisha.99@mail.com,9814798855,B.Tech,2024-06-07 10:00:00,Admitted,91111,80494,Pending
155,STU-1155,Vivek Iyer,vivek.25@mail.com,9809698086,MCA,2024-06-07 11:00:00,Waitlisted,188210,138322,Partially Paid
156,STU-1156,Pooja Das,pooja.69@mail.com,9975552103,B.Tech,2024-06-07 12:00:00,Waitlisted,103734,152991,Partially Paid
157,STU-1157,Arjun Das,arjun.49@mail.com,9503463198,MCA,2024-06-07 13:00:00,Admitted,148535,51138,Partially Paid
158,STU-1158,Rohit Gupta,rohit.83@mail.com,9785082416,BCA,2024-06-07 14:00:00,Admitted,77037,110373,Paid
159,STU-1159,Kiran Sharma,kiran.77@mail.com,9283133628,MBA,2024-06-07 15:00:00,Admitted,74193,127830,Partially Paid
160,STU-1160,Nisha Das,nisha.60@mail.com,9143201414,B.Tech,2024-06-07 16:00:00,Admitted,68081,20090,Pending
161,STU-1161,Priya Singh,priya.23@mail.com,9204161065,B.Tech,2024-06-07 17:00:00,Admitted,149935,42658,Partially Paid
162,STU-1162,Rahul Gupta,rahul.97@mail.com,9295545551,MBA,2024-06-07 18:00:00,Waitlisted,185812,166010,Partially Paid
163,STU-1163,Pooja Verma,pooja.58@mail.com,9620627016,BCA,2024-06-07 19:00:00,Waitlisted,112440,37996,Pending
164,STU-1164,Nisha Nair,nisha.30@mail.com,9851689084,B.Tech,2024-06-07 20:00:00,Rejected,158265,127182,Partially Paid
165,STU-1165,John Johnson,john.60@mail.com,9564200553,MCA,2024-06-07 21:00:00,Admitted,84787,95097,Pending
166,STU-1166,Karthik Patel,karthik.88@mail.com,9111431307,MBA,2024-06-07 22:00:00,Admitted,102225,98127,Paid
167,STU-1167,Sanjay Das,sanjay.88@mail.com,9395500758,B.Tech,2024-06-07 23:00:00,Admitted,82308,56238,Pending
168,STU-1168,Kiran Nair,kiran.44@mail.com,9816227184,B.Tech,2024-06-08 00:00:00,Admitted,170730,155246,Partially Paid
169,STU-1169,Neha Gupta,neha.81@mail.com,9133705217,B.Tech,2024-06-08 01:00:00,Waitlisted,65773,75626,Paid
170,STU-1170,Rakesh Sharma,rakesh.33@mail.com,9892883176,BBA,2024-06-08 02:00:00,Admitted,154080,63332,Partially Paid
171,STU-1171,Nisha Choudhary,nisha.30@mail.com,9502552428,BCA,2024-06-08 03:00:00,Waitlisted,130626,141841,Partially Paid
172,STU-1172,Pooja Sharma,pooja.73@mail.com,9116242144,MCA,2024-06-08 04:00:00,Admitted,160210,110407,Partially Paid
173,STU-1173,Rajesh Sharma,rajesh.24@mail.com,9817722659,MBA,2024-06-08 05:00:00,Waitlisted,116572,107105,Paid
174,STU-1174,Sneha Reddy,sneha.18@mail.com,9217461137,BCA,2024-06-08 06:00:00,Admitted,175534,110552,Pending
175,STU-1175,Arjun Nair,arjun.32@mail.com,9691808329,B.Tech,2024-06-08 07:00:00,Admitted,88068,145345,Paid
176,STU-1176,Neha Verma,neha.85@mail.com,9300062638,MCA,2024-06-08 08:00:00,Admitted,125939,128470,Partially Paid
177,STU-1177,Nisha Patel,nisha.97@mail.com,9830800592,MBA,2024-06-08 09:00:00,Admitted,81444,106987,Partially Paid
178,STU-1178,Arjun Reddy,arjun.47@mail.com,9359347259,BBA,2024-06-08 10:00:00,Admitted,138878,21076,Paid
179,STU-1179,Michael Johnson,michael.45@mail.com,9846621997,BBA,2024-06-08 11:00:00,Rejected,78559,140439,Paid
180,STU-1180,Kiran Singh,kiran.14@mail.com,9146454751,MBA,2024-06-08 12:00:00,Rejected,107818,148761,Pending
181,STU-1181,Deepa Sharma,deepa.58@mail.com,9668994120,B.Tech,2024-06-08 13:00:00,Rejected,194780,49547,Pending
182,STU-1182,Michael Moore,michael.56@mail.com,9999493275,B.Tech,2024-06-08 14:00:00,Admitted,133010,140747,Partially Paid
183,STU-1183,Meena Verma,meena.53@mail.com,9131700991,BCA,2024-06-08 15:00:00,Admitted,189504,122217,Partially Paid
184,STU-1184,Arjun Nair,arjun.74@mail.com,9384157299,BBA,2024-06-08 16:00:00,Waitlisted,90732,29863,Paid
185,STU-1185,Rakesh Iyer,rakesh.40@mail.com,9840444366,B.Tech,2024-06-08 17:00:00,Rejected,130320,140060,Partially Paid
186,STU-1186,Rahul Patel,rahul.91@mail.com,9435862586,BBA,2024-06-08 18:00:00,Waitlisted,128782,58062,Paid
187,STU-1187,Pooja Verma,pooja.49@mail.com,9656794918,BCA,2024-06-08 19:00:00,Admitted,181253,36976,Pending
188,STU-1188,Sanjay Singh,sanjay.52@mail.com,9983187497,BBA,2024-06-08 20:00:00,Waitlisted,121554,166762,Paid
189,STU-1189,Karthik Verma,karthik.67@mail.com,9910706651,MCA,2024-06-08 21:00:00,Rejected,111426,170733,Paid
190,STU-1190,Meena Das,meena.28@mail.com,9835272130,BBA,2024-06-08 22:00:00,Rejected,159815,84052,Partially Paid
191,STU-1191,Sneha Das,sneha.99@mail.com,9867634004,BCA,2024-06-08 23:00:00,Waitlisted,104519,133752,Pending
192,STU-1192,Manish Sharma,manish.39@mail.com,9156741110,MCA,2024-06-09 00:00:00,Waitlisted,73850,27631,Paid
193,STU-1193,Divya Reddy,divya.87@mail.com,9743887042,BCA,2024-06-09 01:00:00,Admitted,91940,83055,Partially Paid
194,STU-1194,Arjun Das,arjun.24@mail.com,9906714877,BCA,2024-06-09 02:00:00,Rejected,136833,18356,Pending
195,STU-1195,Amit Sharma,amit.18@mail.com,9880476693,BBA,2024-06-09 03:00:00,Waitlisted,81241,35389,Paid
196,STU-1196,Arjun Verma,arjun.91@mail.com,9791256762,BBA,2024-06-09 04:00:00,Admitted,133537,62965,Paid
197,STU-1197,Meena Gupta,meena.15@mail.com,9166103165,MBA,2024-06-09 05:00:00,Rejected,97059,93076,Partially Paid
198,STU-1198,Karthik Reddy,karthik.64@mail.com,9409034449,B.Tech,2024-06-09 06:00:00,Rejected,60117,144161,Paid
199,STU-1199,Arjun Choudhary,arjun.67@mail.com,9967705647,B.Tech,2024-06-09 07:00:00,Waitlisted,156504,151440,Pending
200,STU-1200,Rohit Das,rohit.58@mail.com,9603530975,BCA,2024-06-09 08:00:00,Admitted,97607,56303,Paid
201,STU-1201,Nisha Verma,nisha.59@mail.com,9773087997,MBA,2024-06-09 09:00:00,Waitlisted,99946,133714,Pending
202,STU-1202,Arjun Patel,arjun.39@mail.com,9339075328,MCA,2024-06-09 10:00:00,Admitted,194105,144256,Partially Paid
203,STU-1203,Sneha Nair,sneha.20@mail.com,9679235261,B.Tech,2024-06-09 11:00:00,Admitted,190193,109831,Paid
204,STU-1204,Manish Patel,manish.59@mail.com,9424573386,BBA,2024-06-09 12:00:00,Waitlisted,74265,170491,Pending
205,STU-1205,Rajesh Choudhary,rajesh.92@mail.com,9291044931,MCA,2024-06-09 13:00:00,Admitted,75708,77461,Pending
206,STU-1206,Rohit Reddy,rohit.85@mail.com,9271244423,MCA,2024-06-09 14:00:00,Waitlisted,129873,145579,Paid
207,STU-1207,Vivek Choudhary,vivek.13@mail.com,9801451216,BCA,2024-06-09 15:00:00,Admitted,149572,26192,Pending
208,STU-1208,Anita Reddy,anita.79@mail.com,9869617384,MBA,2024-06-09 16:00:00,Rejected,167791,141430,Paid
209,STU-1209,Divya Verma,divya.60@mail.com,9825794210,BCA,2024-06-09 17:00:00,Waitlisted,82428,50703,Pending
