,student_id,student_name_x,email_x,course,admission_date,admission_status,total_fee,paid_fee,Old_payment_status,payment_status,balance,delayed_payment,needs_reminder
75,STU-1075,Neha Das,neha.45@mail.com,MCA,2024-06-04 03:00:00,Admitted,72359,72359,Partially Paid,PAID,0,0,0
76,STU-1076,Rahul Das,rahul.21@mail.com,MCA,2024-06-04 04:00:00,Waitlisted,148306,148306,Paid,PAID,0,0,0
77,STU-1077,Rakesh Gupta,rakesh.13@mail.com,BBA,2024-06-04 05:00:00,Waitlisted,155343,155343,Paid,PAID,0,0,0
78,STU-1078,Nisha Gupta,nisha.25@mail.com,MBA,2024-06-04 06:00:00,Rejected,97599,87006,Pending,PENDING,10593,1,0
79,STU-1079,Meena Verma,meena.92@mail.com,MBA,2024-06-04 07:00:00,Admitted,93465,27712,Partially Paid,PENDING,65753,1,1
80,STU-1080,Rahul Nair,rahul.57@mail.com,B.Tech,2024-06-04 08:00:00,Rejected,161224,124374,Pending,PENDING,36850,1,0
81,STU-1081,Manish Nair,manish.22@mail.com,BCA,2024-06-04 09:00:00,Waitlisted,75481,75481,Paid,PAID,0,0,0
82,STU-1082,Neha Nair,neha.14@mail.com,MBA,2024-06-04 10:00:00,Admitted,193031,167404,Partially Paid,PENDING,25627,1,0
83,STU-1083,Amit Iyer,amit.25@mail.com,BBA,2024-06-04 11:00:00,Waitlisted,90204,90204,Paid,PAID,0,0,0
84,STU-1084,Deepa Choudhary,deepa.94@mail.com,MBA,2024-06-04 12:00:00,Waitlisted,125984,21414,Partially Paid,PENDING,104570,1,1
85,STU-1085,Sanjay Das,sanjay.97@mail.com,BBA,2024-06-04 13:00:00,Waitlisted,71530,22751,Partially Paid,PENDING,48779,1,1
86,STU-1086,Kiran Nair,kiran.36@mail.com,BBA,2024-06-04 14:00:00,Rejected,176377,176377,Paid,PAID,0,0,0
87,STU-1087,Sneha Verma,sneha.30@mail.com,B.Tech,2024-06-04 15:00:00,Admitted,93810,30284,Partially Paid,PENDING,63526,1,1
88,STU-1088,Rohit Reddy,rohit.34@mail.com,B.Tech,2024-06-04 16:00:00,Admitted,122979,122979,Partially Paid,PAID,0,0,0
89,STU-1089,Priya Choudhary,priya.97@mail.com,BBA,2024-06-04 17:00:00,Waitlisted,177619,177619,Paid,PAID,0,0,0
90,STU-1090,Anita Verma,anita.89@mail.com,MCA,2024-06-04 18:00:00,Waitlisted,112861,50190,Pending,PENDING,62671,1,1
91,STU-1091,Sanjay Patel,sanjay.64@mail.com,B.Tech,2024-06-04 19:00:00,Rejected,31407,31407,Paid,PAID,0,0,0
92,STU-1092,Daniel Anderson,daniel.74@mail.com,MBA,2024-06-04 20:00:00,Admitted,123985,123985,Paid,PAID,0,0,0
93,STU-1093,Amit Verma,amit.20@mail.com,BCA,2024-06-04 21:00:00,Admitted,56413,56413,Paid,PAID,0,0,0
94,STU-1094,Pooja Singh,pooja.19@mail.com,B.Tech,2024-06-04 22:00:00,Rejected,152965,142457,Pending,PENDING,10508,1,0
95,STU-1095,Manish Gupta,manish.96@mail.com,MCA,2024-06-04 23:00:00,Rejected,140985,140985,Paid,PAID,0,0,0
96,STU-1096,David Taylor,david.69@mail.com,BBA,2024-06-05 00:00:00,Admitted,148758,143129,Pending,PENDING,5629,1,0
97,STU-1097,Robert Williams,robert.62@mail.com,MCA,2024-06-05 01:00:00,Rejected,82378,82378,Paid,PAID,0,0,0
98,STU-1098,Rakesh Patel,rakesh.96@mail.com,BCA,2024-06-05 02:00:00,Waitlisted,77501,77501,Partially Paid,PAID,0,0,0
99,STU-1099,Nisha Iyer,nisha.10@mail.com,BBA,2024-06-05 03:00:00,Rejected,12414,12414,Paid,PAID,0,0,0
100,STU-1100,Sanjay Reddy,sanjay.81@mail.com,MBA,2024-06-05 04:00:00,Rejected,56068,56068,Paid,PAID,0,0,0
101,STU-1101,Rahul Gupta,rahul.99@mail.com,B.Tech,2024-06-05 05:00:00,Rejected,151137,151137,Partially Paid,PAID,0,0,0
102,STU-1102,Nisha Verma,nisha.53@mail.com,MBA,2024-06-05 06:00:00,Admitted,138983,73214,Partially Paid,PENDING,65769,1,1
103,STU-1103,Rahul Verma,rahul.53@mail.com,MCA,2024-06-05 07:00:00,Rejected,88828,24099,Partially Paid,PENDING,64729,1,1
104,STU-1104,Karthik Choudhary,karthik.20@mail.com,MBA,2024-06-05 08:00:00,Admitted,177748,16988,Pending,PENDING,160760,1,1
105,STU-1105,Sneha Sharma,sneha.63@mail.com,MCA,2024-06-05 09:00:00,Rejected,101592,101592,Partially Paid,PAID,0,0,0
106,STU-1106,Manish Verma,manish.33@mail.com,BBA,2024-06-05 10:00:00,Rejected,166615,74542,Partially Paid,PENDING,92073,1,1
107,STU-1107,Neha Choudhary,neha.17@mail.com,BCA,2024-06-05 11:00:00,Admitted,35053,35053,Paid,PAID,0,0,0
108,STU-1108,David Smith,david.51@mail.com,MBA,2024-06-05 12:00:00,Waitlisted,140817,140817,Partially Paid,PAID,0,0,0
109,STU-1109,Neha Choudhary,neha.53@mail.com,MBA,2024-06-05 13:00:00,Admitted,176690,87603,Pending,PENDING,89087,1,1
110,STU-1110,Rajesh Sharma,rajesh.74@mail.com,MBA,2024-06-05 14:00:00,Waitlisted,119978,119978,Paid,PAID,0,0,0
111,STU-1111,Pooja Choudhary,pooja.95@mail.com,B.Tech,2024-06-05 15:00:00,Rejected,11082,11082,Paid,PAID,0,0,0
112,STU-1112,Emma Brown,emma.34@mail.com,MBA,2024-06-05 16:00:00,Admitted,175843,175843,Partially Paid,PAID,0,0,0
113,STU-1113,Karthik Gupta,karthik.77@mail.com,MCA,2024-06-05 17:00:00,Waitlisted,67628,67628,Paid,PAID,0,0,0
114,STU-1114,Karthik Reddy,karthik.44@mail.com,BBA,2024-06-05 18:00:00,Waitlisted,50089,50089,Paid,PAID,0,0,0
115,STU-1115,David Smith,david.70@mail.com,BBA,2024-06-05 19:00:00,Waitlisted,41638,41638,Paid,PAID,0,0,0
116,STU-1116,Deepa Verma,deepa.43@mail.com,BCA,2024-06-05 20:00:00,Admitted,163319,107177,Partially Paid,PENDING,56142,1,1
117,STU-1117,Rohit Reddy,rohit.39@mail.com,MBA,2024-06-05 21:00:00,Admitted,42126,42126,Paid,PAID,0,0,0
118,STU-1118,Manish Sharma,manish.46@mail.com,MBA,2024-06-05 22:00:00,Admitted,188032,84553,Pending,PENDING,103479,1,1
119,STU-1119,Deepa Das,deepa.54@mail.com,MCA,2024-06-05 23:00:00,Waitlisted,196664,127023,Pending,PENDING,69641,1,1
120,STU-1120,Karthik Iyer,karthik.27@mail.com,BBA,2024-06-06 00:00:00,Waitlisted,113780,113780,Paid,PAID,0,0,0
121,STU-1121,Michael Jones,michael.91@mail.com,B.Tech,2024-06-06 01:00:00,Waitlisted,94375,40991,Partially Paid,PENDING,53384,1,1
122,STU-1122,Robert Moore,robert.69@mail.com,BCA,2024-06-06 02:00:00,Waitlisted,94510,94510,Paid,PAID,0,0,0
123,STU-1123,Deepa Singh,deepa.73@mail.com,BCA,2024-06-06 03:00:00,Rejected,173311,108182,Partially Paid,PENDING,65129,1,1
124,STU-1124,Karthik Patel,karthik.61@mail.com,BBA,2024-06-06 04:00:00,Admitted,119727,66939,Pending,PENDING,52788,1,1
125,STU-1125,Olivia Lee,olivia.85@mail.com,MCA,2024-06-06 05:00:00,Admitted,36077,36077,Paid,PAID,0,0,0
126,STU-1126,Karthik Iyer,karthik.22@mail.com,MBA,2024-06-06 06:00:00,Rejected,199748,176209,Partially Paid,PENDING,23539,1,0
127,STU-1127,Deepa Das,deepa.11@mail.com,BCA,2024-06-06 07:00:00,Rejected,110700,110700,Partially Paid,PAID,0,0,0
128,STU-1128,Amit Verma,amit.18@mail.com,MBA,2024-06-06 08:00:00,Rejected,149507,75246,Partially Paid,PENDING,74261,1,1
129,STU-1129,Deepa Sharma,deepa.13@mail.com,MBA,2024-06-06 09:00:00,Admitted,45413,45413,Paid,PAID,0,0,0
130,STU-1130,Meena Das,meena.12@mail.com,MCA,2024-06-06 10:00:00,Rejected,163331,163331,Paid,PAID,0,0,0
131,STU-1131,Manish Singh,manish.61@mail.com,MBA,2024-06-06 11:00:00,Admitted,128895,128895,Paid,PAID,0,0,0
132,STU-1132,Meena Das,meena.45@mail.com,BBA,2024-06-06 12:00:00,Rejected,104005,18180,Pending,PENDING,85825,1,1
133,STU-1133,Anita Sharma,anita.95@mail.com,MCA,2024-06-06 13:00:00,Waitlisted,150407,50358,Pending,PENDING,100049,1,1
134,STU-1134,Nisha Sharma,nisha.21@mail.com,MCA,2024-06-06 14:00:00,Rejected,64881,37136,Partially Paid,PENDING,27745,1,1
135,STU-1135,Rakesh Iyer,rakesh.34@mail.com,BCA,2024-06-06 15:00:00,Rejected,158479,14932,Partially Paid,PENDING,143547,1,1
136,STU-1136,John Brown,john.16@mail.com,BBA,2024-06-06 16:00:00,Admitted,84357,84357,Partially Paid,PAID,0,0,0
137,STU-1137,Manish Singh,manish.90@mail.com,BBA,2024-06-06 17:00:00,Waitlisted,127473,87610,Pending,PENDING,39863,1,1
138,STU-1138,Rahul Nair,rahul.66@mail.com,BBA,2024-06-06 18:00:00,Waitlisted,159969,159969,Paid,PAID,0,0,0
139,STU-1139,Karthik Reddy,karthik.21@mail.com,BBA,2024-06-06 19:00:00,Admitted,89519,66144,Partially Paid,PENDING,23375,1,0
140,STU-1140,Emma Lee,emma.77@mail.com,BBA,2024-06-06 20:00:00,Waitlisted,139667,139667,Paid,PAID,0,0,0
141,STU-1141,Priya Iyer,priya.87@mail.com,MCA,2024-06-06 21:00:00,Admitted,143299,143299,Partially Paid,PAID,0,0,0
142,STU-1142,Arjun Verma,arjun.41@mail.com,B.Tech,2024-06-06 22:00:00,Rejected,134688,73968,Pending,PENDING,60720,1,1
143,STU-1143,Rohit Reddy,rohit.45@mail.com,MBA,2024-06-06 23:00:00,Admitted,195901,120079,Partially Paid,PENDING,75822,1,1
144,STU-1144,Neha Singh,neha.15@mail.com,BBA,2024-06-07 00:00:00,Admitted,18617,18617,Paid,PAID,0,0,0
145,STU-1145,Vivek Singh,vivek.80@mail.com,MCA,2024-06-07 01:00:00,Rejected,113138,113138,Paid,PAID,0,0,0
146,STU-1146,Sanjay Iyer,sanjay.19@mail.com,BCA,2024-06-07 02:00:00,Waitlisted,155357,123484,Pending,PENDING,31873,1,0
147,STU-1147,Sneha Nair,sneha.38@mail.com,BBA,2024-06-07 03:00:00,Rejected,108673,37804,Partially Paid,PENDING,70869,1,1
148,STU-1148,David Jones,david.57@mail.com,BBA,2024-06-07 04:00:00,Waitlisted,88809,32226,Pending,PENDING,56583,1,1
149,STU-1149,Meena Iyer,meena.84@mail.com,BBA,2024-06-07 05:00:00,Rejected,155054,155054,Paid,PAID,0,0,0
150,STU-1150,Rohit Sharma,rohit.71@mail.com,BCA,2024-06-07 06:00:00,Waitlisted,86859,86859,Paid,PAID,0,0,0
151,STU-1151,Meena Das,meena.41@mail.com,BBA,2024-06-07 07:00:00,Admitted,169488,169488,Paid,PAID,0,0,0
152,STU-1152,Arjun Nair,arjun.14@mail.com,MBA,2024-06-07 08:00:00,Waitlisted,166648,166648,Paid,PAID,0,0,0
153,STU-1153,Sanjay Reddy,sanjay.72@mail.com,BCA,2024-06-07 09:00:00,Waitlisted,189201,24816,Pending,PENDING,164385,1,1
154,STU-1154,Nisha Iyer,nisha.99@mail.com,B.Tech,2024-06-07 10:00:00,Admitted,91111,80494,Pending,PENDING,10617,1,0
155,STU-1155,Vivek Iyer,vivek.25@mail.com,MCA,2024-06-07 11:00:00,Waitlisted,188210,138322,Partially Paid,PENDING,49888,1,0
156,STU-1156,Pooja Das,pooja.69@mail.com,B.Tech,2024-06-07 12:00:00,Waitlisted,152991,152991,Partially Paid,PAID,0,0,0
157,STU-1157,Arjun Das,arjun.49@mail.com,MCA,2024-06-07 13:00:00,Admitted,148535,51138,Partially Paid,PENDING,97397,1,1
158,STU-1158,Rohit Gupta,rohit.83@mail.com,BCA,2024-06-07 14:00:00,Admitted,110373,110373,Paid,PAID,0,0,0
159,STU-1159,Kiran Sharma,kiran.77@mail.com,MBA,2024-06-07 15:00:00,Admitted,127830,127830,Partially Paid,PAID,0,0,0
160,STU-1160,Nisha Das,nisha.60@mail.com,B.Tech,2024-06-07 16:00:00,Admitted,68081,20090,Pending,PENDING,47991,1,1
161,STU-1161,Priya Singh,priya.23@mail.com,B.Tech,2024-06-07 17:00:00,Admitted,149935,42658,Partially Paid,PENDING,107277,1,1
162,STU-1162,Rahul Gupta,rahul.97@mail.com,MBA,2024-06-07 18:00:00,Waitlisted,185812,166010,Partially Paid,PENDING,19802,1,0
163,STU-1163,Pooja Verma,pooja.58@mail.com,BCA,2024-06-07 19:00:00,Waitlisted,112440,37996,Pending,PENDING,74444,1,1
164,STU-1164,Nisha Nair,nisha.30@mail.com,B.Tech,2024-06-07 20:00:00,Rejected,158265,127182,Partially Paid,PENDING,31083,1,0
165,STU-1165,John Johnson,john.60@mail.com,MCA,2024-06-07 21:00:00,Admitted,95097,95097,Pending,PAID,0,0,0
166,STU-1166,Karthik Patel,karthik.88@mail.com,MBA,2024-06-07 22:00:00,Admitted,98127,98127,Paid,PAID,0,0,0
167,STU-1167,Sanjay Das,sanjay.88@mail.com,B.Tech,2024-06-07 23:00:00,Admitted,82308,56238,Pending,PENDING,26070,1,1
168,STU-1168,Kiran Nair,kiran.44@mail.com,B.Tech,2024-06-08 00:00:00,Admitted,170730,155246,Partially Paid,PENDING,15484,1,0
169,STU-1169,Neha Gupta,neha.81@mail.com,B.Tech,2024-06-08 01:00:00,Waitlisted,75626,75626,Paid,PAID,0,0,0
170,STU-1170,Rakesh Sharma,rakesh.33@mail.com,BBA,2024-06-08 02:00:00,Admitted,154080,63332,Partially Paid,PENDING,90748,1,1
171,STU-1171,Nisha Choudhary,nisha.30@mail.com,BCA,2024-06-08 03:00:00,Waitlisted,141841,141841,Partially Paid,PAID,0,0,0
172,STU-1172,Pooja Sharma,pooja.73@mail.com,MCA,2024-06-08 04:00:00,Admitted,160210,110407,Partially Paid,PENDING,49803,1,1
173,STU-1173,Rajesh Sharma,rajesh.24@mail.com,MBA,2024-06-08 05:00:00,Waitlisted,107105,107105,Paid,PAID,0,0,0
174,STU-1174,Sneha Reddy,sneha.18@mail.com,BCA,2024-06-08 06:00:00,Admitted,175534,110552,Pending,PENDING,64982,1,1
175,STU-1175,Arjun Nair,arjun.32@mail.com,B.Tech,2024-06-08 07:00:00,Admitted,145345,145345,Paid,PAID,0,0,0
176,STU-1176,Neha Verma,neha.85@mail.com,MCA,2024-06-08 08:00:00,Admitted,128470,128470,Partially Paid,PAID,0,0,0
177,STU-1177,Nisha Patel,nisha.97@mail.com,MBA,2024-06-08 09:00:00,Admitted,106987,106987,Partially Paid,PAID,0,0,0
178,STU-1178,Arjun Reddy,arjun.47@mail.com,BBA,2024-06-08 10:00:00,Admitted,21076,21076,Paid,PAID,0,0,0
179,STU-1179,Michael Johnson,michael.45@mail.com,BBA,2024-06-08 11:00:00,Rejected,140439,140439,Paid,PAID,0,0,0
180,STU-1180,Kiran Singh,kiran.14@mail.com,MBA,2024-06-08 12:00:00,Rejected,148761,148761,Pending,PAID,0,0,0
181,STU-1181,Deepa Sharma,deepa.58@mail.com,B.Tech,2024-06-08 13:00:00,Rejected,194780,49547,Pending,PENDING,145233,1,1
182,STU-1182,Michael Moore,michael.56@mail.com,B.Tech,2024-06-08 14:00:00,Admitted,140747,140747,Partially Paid,PAID,0,0,0
183,STU-1183,Meena Verma,meena.53@mail.com,BCA,2024-06-08 15:00:00,Admitted,189504,122217,Partially Paid,PENDING,67287,1,1
184,STU-1184,Arjun Nair,arjun.74@mail.com,BBA,2024-06-08 16:00:00,Waitlisted,29863,29863,Paid,PAID,0,0,0
185,STU-1185,Rakesh Iyer,rakesh.40@mail.com,B.Tech,2024-06-08 17:00:00,Rejected,140060,140060,Partially Paid,PAID,0,0,0
186,STU-1186,Rahul Patel,rahul.91@mail.com,BBA,2024-06-08 18:00:00,Waitlisted,58062,58062,Paid,PAID,0,0,0
187,STU-1187,Pooja Verma,pooja.49@mail.com,BCA,2024-06-08 19:00:00,Admitted,181253,36976,Pending,PENDING,144277,1,1
188,STU-1188,Sanjay Singh,sanjay.52@mail.com,BBA,2024-06-08 20:00:00,Waitlisted,166762,166762,Paid,PAID,0,0,0
189,STU-1189,Karthik Verma,karthik.67@mail.com,MCA,2024-06-08 21:00:00,Rejected,170733,170733,Paid,PAID,0,0,0
190,STU-1190,Meena Das,meena.28@mail.com,BBA,2024-06-08 22:00:00,Rejected,159815,84052,Partially Paid,PENDING,75763,1,1
191,STU-1191,Sneha Das,sneha.99@mail.com,BCA,2024-06-08 23:00:00,Waitlisted,133752,133752,Pending,PAID,0,0,0
